zCMB MU MUERR_FINAL
0.24605 40.59380 0.09680
0.33549 41.22630 0.13600
0.38337 41.63830 0.23320
0.32078 41.19910 0.15030
0.49677 42.14710 0.16180
0.39282 41.51710 0.20600
0.90888 43.98130 0.17440
0.53378 42.61730 0.26760
0.53127 42.09880 0.15280
0.83066 43.30810 0.20200
0.55502 43.42100 280.15360
0.35763 41.86470 0.20090
0.15026 39.21510 0.10660
0.45565 41.97980 0.14340
0.57927 42.48230 0.19000
0.22566 40.17680 0.19020
0.28063 40.70810 0.12490
0.32394 41.24240 0.13270
0.24517 40.35610 0.12150
0.35016 41.33270 0.10270
0.17053 39.22120 0.12670
0.34307 41.46930 0.13220
0.57093 42.74300 0.21690
0.48342 42.16430 0.12520
0.38620 41.57100 0.16410
0.22305 40.23700 0.18970
0.76517 43.47190 0.15420
0.56017 42.16140 0.19980
0.48312 42.46480 0.16620
0.36834 41.26630 0.12980
0.54968 42.67530 0.13170
0.63680 42.78930 0.13020
0.22806 40.48500 0.18550
0.45085 42.27320 0.27220
0.55513 42.54550 0.15410
0.33169 42.62210 192.59200
0.28303 40.65310 0.10930
0.62139 42.93550 161.75070
0.21511 40.19060 0.09250
0.44628 42.35580 0.24780
0.26775 40.90140 0.15930
0.18216 39.83940 0.09370
0.16085 39.43000 0.10730
0.69088 43.10580 0.12080
0.38323 41.37130 0.17260
0.27382 40.45650 0.10660
0.35843 41.53670 0.12430
0.64305 42.85150 0.12660
0.49292 42.11860 0.15640
0.78734 43.58190 0.13490
0.52770 42.66700 0.18230
0.27860 40.79500 0.20170
0.29461 40.89510 0.17690
0.96329 44.12410 0.21700
0.66487 43.12810 0.21510
0.77725 43.33910 0.15090
0.85707 43.78740 0.28470
0.74658 43.42440 3.26130
0.87972 43.79110 0.17540
0.21898 40.34570 0.19460
0.66948 42.86450 0.15230
0.55146 42.37200 0.20780
0.70099 43.03250 0.18360
0.81967 43.79920 0.18270
0.68428 42.93540 0.12280
0.62632 42.84050 0.13050
0.59788 42.73590 0.12510
0.43172 42.05860 0.64420
0.43398 41.79440 0.12400
0.57349 42.65450 0.20040
0.52727 42.67780 0.18380
0.35484 41.56280 0.12670
0.55760 42.56250 0.13420
0.63033 42.96370 0.19930
0.82172 43.86320 0.19010
0.76679 43.53760 0.20420
0.77155 43.27320 0.17960
0.44647 41.89500 0.15200
0.55288 42.54180 0.14110
0.97242 44.15720 0.16270
0.60498 42.68630 0.19050
0.51956 43.07870 170.59730
0.88580 43.81390 0.54340
0.59692 42.70620 0.13350
0.54134 42.30560 0.18270
0.47767 42.36350 0.18670
0.43322 41.90470 0.14370
0.81330 43.77530 0.29510
0.95299 43.71320 0.19310
0.97489 44.18960 0.19920
0.98536 43.85860 0.13060
0.56059 42.46010 0.12800
0.58026 42.63250 0.14440
0.45168 41.75070 0.13530
0.69277 43.17100 0.22940
0.83583 43.72630 0.16580
0.92427 43.56350 0.14610
0.66666 42.86870 0.14440
0.46198 42.12470 0.16980
0.50134 42.29100 0.11320
0.45332 41.88360 0.17250
0.31916 41.12410 0.13770
0.40349 42.08270 0.30620
0.43868 42.06010 0.21120
0.46154 41.98250 0.14040
0.57729 42.65760 0.18200
0.16945 40.81580 257.72070
0.71380 43.33580 0.16420
0.36131 41.57740 0.20540
0.44670 41.83510 0.12000
0.45412 42.20200 0.20860
0.51969 42.40780 0.23620
0.90824 44.05080 0.19270
0.85652 43.67410 0.24340
0.84780 44.03420 0.33860
0.49276 41.91320 0.13720
0.19555 39.75200 0.10270
0.84019 43.25860 224.76070
0.59079 42.59190 0.15630
0.53300 42.81360 0.22110
0.53591 42.41750 0.15510
0.76150 43.59680 0.16430
0.49252 42.17220 0.13320
0.96689 44.13000 0.18760
0.70417 43.06500 0.16060
0.49500 42.15590 0.15550
0.35129 41.48060 0.13340
0.79118 43.63540 0.20300
0.50495 41.89330 0.14610
0.47065 42.19050 0.20380
0.39827 41.79110 0.26920
0.60551 42.80770 0.14750
0.44380 41.80770 0.18330
0.62411 42.98820 0.16480
0.64989 42.93650 0.20460
0.57675 42.56950 0.16430
1.04680 43.85930 0.14830
0.35561 41.30640 0.14130
0.58055 42.52810 0.17260
0.38137 41.48200 0.19080
0.37202 41.69540 0.15430
0.66681 42.76430 0.11980
0.46877 42.07740 0.15460
0.45012 41.91040 0.21210
0.55536 42.60460 0.19130
0.60182 42.55220 0.13840
0.28010 40.80370 0.11040
0.58881 43.05390 0.24860
0.69107 43.49820 0.36380
0.36463 41.32560 0.20000
0.91896 44.02560 0.27400
0.81852 43.47510 0.22450
0.34311 41.21510 0.19440
0.95521 43.90620 0.21970
0.47803 42.09570 0.13600
0.61939 42.88470 0.17690
0.33226 40.27100 185.23550
0.51130 42.20340 0.13060
0.55626 42.41690 0.12800
0.34548 41.35810 0.11220
0.68138 43.16570 0.17320
0.29438 41.07360 0.18160
0.43629 42.24720 0.23080
0.55650 42.31130 0.14950
0.35267 41.99410 15.46820
0.61943 42.61770 0.23080
0.47982 41.97180 0.15450
0.58576 42.69510 0.17530
0.44084 41.92770 0.10790
0.35284 41.49720 0.16010
0.33743 41.13320 0.17580
0.38684 41.60900 0.13590
0.35177 41.24990 0.11650
0.47330 42.05840 0.15970
0.37001 41.32010 172.27550
0.58817 42.48010 0.17000
0.52560 42.40680 0.19330
0.65434 42.95270 0.13090
1.02433 43.93350 172.63720
0.48410 42.30960 0.17210
0.33257 41.08360 0.12700
0.21136 40.11450 0.16600
0.40361 41.70100 0.16090
0.59401 42.36940 0.23080
0.22953 40.05750 0.11050
0.52211 42.35630 0.12700
0.74535 43.15940 0.17890
0.33389 41.04230 0.20460
0.84094 43.56100 0.25650
0.18383 39.78860 0.09390
0.47598 42.17050 0.22380
0.64421 42.89670 0.16470
0.61393 42.71130 0.15310
0.29648 40.84580 0.12980
0.45831 42.11870 0.16260
0.36656 41.40130 0.12420
0.62518 42.88350 0.16830
0.51689 42.54480 0.20080
0.62104 42.91110 0.18520
0.50509 42.33120 0.18770
0.47616 41.98750 0.17710
0.52473 42.13020 0.16820
0.52105 42.36560 0.20160
0.61445 43.04870 0.24380
0.49383 42.02610 0.19210
0.82394 43.79400 0.25060
0.59750 42.47820 0.24180
0.54947 42.34590 0.16420
0.34918 41.36920 0.15520
0.42593 41.82740 0.12850
0.52790 42.30110 0.19920
0.22284 40.08200 0.17010
0.60243 42.89350 0.21900
0.21986 39.97210 0.15830
0.30477 40.97220 0.10860
0.56161 42.35760 0.14640
0.32710 41.22750 0.09130
0.51244 42.36980 0.14310
0.56751 42.45270 0.13360
0.56401 42.66070 0.15530
0.32008 41.07660 0.16110
0.65871 43.26860 0.20090
0.53232 42.33110 0.16460
0.55060 42.70920 0.17640
0.45811 41.93970 0.14160
0.27279 40.66470 0.10810
0.38948 41.15090 0.19360
0.69410 43.07730 0.13680
0.42982 41.80600 0.24590
0.35469 41.29550 0.22030
0.43034 41.93650 0.20680
0.33336 41.20260 0.12170
0.81750 43.47060 0.15400
0.85674 43.39030 0.17590
0.85855 43.65660 0.23530
0.62024 42.87920 0.21240
0.74133 43.39820 0.17090
0.55236 42.25120 0.15410
0.27437 40.74030 0.17070
0.53806 42.42950 0.20340
0.55534 42.41850 0.14530
0.59141 42.56780 0.22410
0.67405 43.03990 0.16500
0.52885 42.41060 0.16000
0.41568 41.66100 0.15470
0.69873 43.07470 0.16000
0.61069 42.70080 0.16490
0.61854 42.71520 0.29110
0.47377 42.14300 0.18970
0.66147 42.92670 0.13870
0.19246 39.93310 0.18870
0.53166 42.34170 0.13870
0.59789 42.45760 0.20490
0.52723 42.37110 0.12250
0.62162 42.89780 0.15290
0.35211 41.14480 0.13170
0.32214 40.97420 0.11320
0.65387 42.83880 0.16060
0.26523 40.87430 0.20630
0.27963 40.88660 0.21190
0.46694 42.04340 0.12360
0.58072 42.76080 0.18760
0.45360 42.16950 0.16650
0.11323 39.06970 0.76320
0.33802 41.19190 0.11370
0.38328 41.50920 0.13120
0.33520 42.16200 5.32300
0.46949 42.51000 0.25780
0.26103 41.05660 2.31920
0.45294 41.97580 0.18510
0.56215 42.18560 0.21180
0.29209 40.85360 0.11090
0.23747 40.42890 0.14190
0.40644 41.88440 0.32650
0.25378 40.27370 0.14420
0.52929 42.27500 0.18030
0.23079 40.30900 0.13820
0.61343 43.06890 0.21360
0.70548 42.98130 0.24490
0.77692 43.05280 331.73250
0.65514 42.91610 0.16560
0.50827 42.05640 0.13020
0.65206 42.74380 0.14530
1.02868 44.19890 0.17790
0.68017 42.81400 0.21430
0.72737 43.36530 0.16640
0.33778 41.02130 0.14950
0.45799 42.48630 0.30650
0.31251 41.07990 0.11480
0.58276 42.63720 0.21540
0.29185 40.84920 0.12410
1.06420 44.15960 0.15980
0.75729 43.42590 0.45070
0.50070 42.31630 0.19780
0.66083 43.02460 0.20380
0.69783 43.35300 0.21900
0.43578 42.09930 0.24070
0.49523 42.20090 0.21560
0.66362 42.86080 0.16570
0.42460 42.04140 0.11900
0.54397 42.20740 0.14140
0.33054 41.33080 0.13360
0.56459 42.85560 0.21060
0.42749 41.55190 1.19830
0.49572 42.27820 0.22810
0.31075 40.87460 0.13980
0.44841 41.66000 0.18410
0.36027 41.33540 0.14030
0.68110 42.92150 0.16900
0.55299 42.17210 0.17470
0.73162 43.23270 0.21730
0.50394 42.17350 0.17400
0.55214 42.60650 0.22010
0.34689 41.11320 0.13810
0.42981 41.45720 0.20860
0.44472 41.86350 0.17780
0.47304 41.98750 0.17860
1.05303 44.29660 0.19850
0.31752 41.28990 0.12690
0.68332 43.02770 0.15430
0.68397 42.98530 0.24510
0.60311 42.49000 0.25510
0.36021 41.59620 0.25590
0.79939 43.43550 0.22610
0.42029 41.98240 0.16730
0.70978 43.42050 0.19940
0.39876 41.89820 0.34280
0.58574 42.59940 0.19480
0.36160 41.44370 0.21520
0.29358 40.97570 0.12020
0.49820 42.33120 0.22970
0.32930 42.12740 177.01680
0.57039 42.40590 0.17400
0.62318 42.77980 0.04660
0.79511 43.33410 0.16230
0.18937 39.96150 0.14020
0.40188 41.53170 0.19160
0.23212 40.35650 0.10710
0.35329 41.54010 0.13620
0.14940 39.28930 0.09750
0.68179 43.04500 0.21070
0.34602 41.29380 0.13600
0.69313 43.04420 0.19980
0.43369 41.96140 0.16160
0.72199 42.89930 0.30720
0.27237 40.71010 0.12090
0.34799 41.48580 0.20510
0.32321 40.91180 0.22920
0.25692 40.48440 0.15540
0.49412 42.20390 0.22370
0.23470 40.39750 0.12020
0.56528 42.44540 0.18050
0.69938 43.59270 0.27940
0.77082 43.49970 0.17260
0.05962 37.35230 0.13740
0.49219 42.70130 0.35530
0.62617 43.11690 0.23080
0.68399 42.96190 0.26940
0.63211 42.81900 0.21140
0.68056 42.77940 0.25540
0.73899 43.31680 0.20790
0.19902 39.98210 0.19560
0.65195 42.51410 0.13540
0.30697 41.01150 0.11290
0.57821 42.76330 0.17880
0.50547 42.20050 0.19180
0.38393 41.49860 0.16860
0.42376 41.68770 0.15930
0.21781 40.30220 0.14570
0.64685 42.85060 0.16370
0.37797 41.45950 0.16960
0.58012 42.53470 0.16890
0.38353 41.45200 0.22700
0.20753 40.17480 0.10120
0.56536 42.39170 0.17130
0.31286 41.12920 0.11840
0.14631 39.46090 0.16990
0.54888 42.40300 219.92540
0.36862 41.54300 0.23110
0.65483 42.81460 0.15540
0.40512 41.74840 0.14090
0.56441 42.44160 0.15040
0.48417 42.38870 0.36860
0.66296 42.75950 0.19430
0.52280 42.36970 0.13850
0.33681 41.41180 0.20770
0.65718 42.80700 0.18630
0.23048 40.21440 0.13040
0.29001 40.84740 0.17020
0.54268 42.56700 0.16480
0.37769 42.06610 1.14970
0.61207 42.54280 0.20530
0.56173 42.31180 0.15180
0.41962 41.90660 0.19790
0.25907 40.24110 0.13340
0.53582 42.68630 0.19190
0.70875 43.41830 0.21420
0.38495 41.03440 0.17770
0.11621 41.41530 188.50740
0.43112 41.77750 0.21580
0.73488 43.24240 0.18930
0.79530 43.35690 0.23470
0.59506 42.38020 0.19490
0.59909 42.40980 0.20520
0.57153 42.48850 0.21120
0.67528 43.09850 0.28750
0.21847 40.37400 0.13980
0.53680 42.32790 0.18430
0.28110 40.42530 0.25970
0.54352 42.28570 0.13060
0.29199 40.87190 0.11530
0.47819 42.03830 0.20030
0.23057 42.33770 239.41490
0.51089 42.02530 0.14650
0.53976 42.40470 0.20130
0.27905 40.90330 0.20700
